SRP	ACCESSION	RUN_SET.RUN.IDENTIFIERS.PRIMARY_ID	SAMPLE.SAMPLE_NAME.TAXON_ID	Pool.Member.@sample_title	replicate	infection	sequencing_library_method	lab_host	passage_history	serotype	case history of originator	genotype/variation	timepoint_days_post_infection	stress	polysome fraction	biological replicates	barcode	isolation_source	knockdown	age	note	donor id	cell line background	reference genome	source_name	disease	treatment	tissue	genotype	genetics	overexpression	tumor type	isolate	geo_loc_name	chip antibody	time	ectopic e2f-1 expressed	treatment2	genetic aberration	shRNA	treated with	concentration	sample_type	agent	time point	cell line	tissue source	treatment1	BioSampleModel	antibody	collection_date	mtap status	incubation time	vector	conditions	transfection	condition	cell type	culture type	time of treatment
SRP388148	SRX16671704	SRR20648576	9606	CHL1 cell, PRMT5 inhibition,72 hours, 1																					CHL1		PRMT5 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671705	SRR20648575	9606	CHL1 cell, CDK4/6 inhibition,72 hours, 2																					CHL1		CDK4/6 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671706	SRR20648574	9606	CHL1 cell, CDK4/6 inhibition,72 hours, 1																					CHL1		CDK4/6 inhibition		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671707	SRR20648573	9606	CHL1 cell, control,72 hours, 2																					CHL1		Control		WT																72 hours	CHL1												melanoma cell		
SRP388148	SRX16671708	SRR20648572	9606	CHL1 cell, control,72 hours, 1																					CHL1		Control		WT																72 hours	CHL1												melanoma cell		
SRP073189	SRX1693951	SRR3362661	9606	A549_GFPkd_1															GFP (control knockdown)						A549 lung adenocarcinoma control (GFP) knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693952	SRR3362662	9606	A549_GFPkd_2															GFP (control knockdown)						A549 lung adenocarcinoma control (GFP) knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693953	SRR3362663	9606	A549_GFPkd_3															GFP (control knockdown)						A549 lung adenocarcinoma control (GFP) knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693954	SRR3362664	9606	A549_PRMT5kd_1															PRMT5 knockdown						A549 lung adenocarcinoma PRMT5 shRNA knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693955	SRR3362665	9606	A549_PRMT5kd_2															PRMT5 knockdown						A549 lung adenocarcinoma PRMT5 shRNA knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693956	SRR3362666	9606	A549_PRMT5kd_3															PRMT5 knockdown						A549 lung adenocarcinoma PRMT5 shRNA knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693957	SRR3362667	9606	A549_MEP50kd_1															MEP50 knockdown						A549 lung adenocarcinoma MEP50 shRNA knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693958	SRR3362668	9606	A549_MEP50kd_2															MEP50 knockdown						A549 lung adenocarcinoma MEP50 shRNA knockdown																					A549 lung adenocarcinoma														
SRP073189	SRX1693959	SRR3362669	9606	A549_MEP50kd_3															MEP50 knockdown						A549 lung adenocarcinoma MEP50 shRNA knockdown																					A549 lung adenocarcinoma														
SRP388148	SRX19630386	SRR23798296	9606	A375 cell, control,6 days [SA-SPLICE19-1_S1]																					SA-SPLICE19-1_S1		Control	SA-SPLICE19-1_S1	WT																	A375												melanoma cell		
SRP388148	SRX19630387	SRR23798295	9606	A375 cell, control,6 days [SA-SPLICE19-2_S2]																					SA-SPLICE19-2_S2		Control	SA-SPLICE19-2_S2	WT																	A375												melanoma cell		
SRP388148	SRX19630388	SRR23798294	9606	A375 cell, CDK4/6 inhibition,6 days [SA-SPLICE19-3_S3]																					SA-SPLICE19-3_S3		CDK4/6 inhibition	SA-SPLICE19-3_S3	WT																	A375												melanoma cell		
SRP388148	SRX19630389	SRR23798293	9606	A375 cell, CDK4/6 inhibition,6 days [SA-SPLICE19-4_S4]																					SA-SPLICE19-4_S4		CDK4/6 inhibition	SA-SPLICE19-4_S4	WT																	A375												melanoma cell		
SRP097000	SRX2501925	SRR5185918	9606	DMSO replicate 1																					U-87 MG cells, DMSO		DMSO															10 ul per 10 ml media				U-87 MG							72h							
SRP097000	SRX2501926	SRR5185919	9606	DMSO replicate 2																					U-87 MG cells, DMSO		DMSO															10 ul per 10 ml media				U-87 MG							72h							
SRP097000	SRX2501927	SRR5185920	9606	DMSO replicate 3																					U-87 MG cells, DMSO		DMSO															10 ul per 10 ml media				U-87 MG							72h							
SRP097000	SRX2501928	SRR5185921	9606	EPZ015666 replicate 1																					U-87 MG cells, EPZ015666		EPZ015666															10 uM				U-87 MG							72h							
SRP097000	SRX2501929	SRR5185922	9606	EPZ015666 replicate 2																					U-87 MG cells, EPZ015666		EPZ015666															10 uM				U-87 MG							72h							
SRP097000	SRX2501930	SRR5185923	9606	EPZ015666 replicate 3																					U-87 MG cells, EPZ015666		EPZ015666															10 uM				U-87 MG							72h							
SRP126247	SRX3450460	SRR6353795	9606	MCF7-shCTRL Rep1								shCTRL											MCF7		MCF7 shCTRL ESA+CD24lowCD44+ cells																																	ESA+CD24lowCD44+ cells		
SRP126247	SRX3450461	SRR6353796	9606	MCF7-shCTRL Rep2								shCTRL											MCF7		MCF7 shCTRL ESA+CD24lowCD44+ cells																																	ESA+CD24lowCD44+ cells		
SRP126247	SRX3450462	SRR6353797	9606	MCF7-shCTRL Rep3								shCTRL											MCF7		MCF7 shCTRL ESA+CD24lowCD44+ cells																																	ESA+CD24lowCD44+ cells		
SRP126247	SRX3450463	SRR6353798	9606	MCF7-shPRMT5 Rep1								shPRMT5											MCF7		MCF7 shPRMT5 ESA+CD24lowCD44+ cells																																	ESA+CD24lowCD44+ cells		
SRP126247	SRX3450464	SRR6353799	9606	MCF7-shPRMT5 Rep2								shPRMT5											MCF7		MCF7 shPRMT5 ESA+CD24lowCD44+ cells																																	ESA+CD24lowCD44+ cells		
SRP126247	SRX3450465	SRR6353800	9606	MCF7-shPRMT5 Rep3								shPRMT5											MCF7		MCF7 shPRMT5 ESA+CD24lowCD44+ cells																																	ESA+CD24lowCD44+ cells		
SRP127787	SRX3524974		9606	MAVER1_day3_vehicle																					CellLine: MAVER-1							Mantle Cell Lymphoma									Vehicle				Day 3	MAVER-1														
SRP127787	SRX3524975		9606	MAVER1_day3_200nM_GSK595																					CellLine: MAVER-1							Mantle Cell Lymphoma									200nM GSK3326595				Day 3	MAVER-1														
SRP127787	SRX3524976		9606	MAVER1_day6_vehicle																					CellLine: MAVER-1							Mantle Cell Lymphoma									Vehicle				Day 6	MAVER-1														
SRP127787	SRX3524977		9606	MAVER1_day6_200nM_GSK595																					CellLine: MAVER-1							Mantle Cell Lymphoma									200nM GSK3326595				Day 6	MAVER-1														
SRP127787	SRX3524978		9606	JVM2_day3_vehicle																					CellLine: JVM-2							Mantle Cell Lymphoma									Vehicle				Day 3	JVM-2														
SRP127787	SRX3524979		9606	JVM2_day3_200nM_GSK595																					CellLine: JVM-2							Mantle Cell Lymphoma									200nM GSK3326595				Day 3	JVM-2														
SRP127787	SRX3524980		9606	JVM2_day6_vehicle																					CellLine: JVM-2							Mantle Cell Lymphoma									Vehicle				Day 6	JVM-2														
SRP127787	SRX3524981		9606	JVM2_day6_200nM_GSK595																					CellLine: JVM-2							Mantle Cell Lymphoma									200nM GSK3326595				Day 6	JVM-2														
SRP127787	SRX3524982		9606	SUDHL6_day3_vehicle																					CellLine: SU-DHL-6							Diffuse Large B-cell Lymphoma									Vehicle				Day 3	SU-DHL-6														
SRP127787	SRX3524983		9606	SUDHL6_day3_200nM_GSK595																					CellLine: SU-DHL-6							Diffuse Large B-cell Lymphoma									200nM GSK3326595				Day 3	SU-DHL-6														
SRP127787	SRX3524984		9606	SUDHL6_day6_vehicle																					CellLine: SU-DHL-6							Diffuse Large B-cell Lymphoma									Vehicle				Day 6	SU-DHL-6														
SRP127787	SRX3524985		9606	SUDHL6_day6_200nM_GSK595																					CellLine: SU-DHL-6							Diffuse Large B-cell Lymphoma									200nM GSK3326595				Day 6	SU-DHL-6														
SRP127787	SRX3524986		9606	SUDHL5_day3_vehicle																					CellLine: SU-DHL-5							Diffuse Large B-cell Lymphoma									Vehicle				Day 3	SU-DHL-5														
SRP127787	SRX3524987		9606	SUDHL5_day3_200nM_GSK595																					CellLine: SU-DHL-5							Diffuse Large B-cell Lymphoma									200nM GSK3326595				Day 3	SU-DHL-5														
SRP127787	SRX3524988		9606	SUDHL5_day6_vehicle																					CellLine: SU-DHL-5							Diffuse Large B-cell Lymphoma									Vehicle				Day 6	SU-DHL-5														
SRP127787	SRX3524989		9606	SUDHL5_day6_200nM_GSK595																					CellLine: SU-DHL-5							Diffuse Large B-cell Lymphoma									200nM GSK3326595				Day 6	SU-DHL-5														
SRP127787	SRX3524990		9606	SUDHL4_day3_vehicle																					CellLine: SU-DHL-4							Diffuse Large B-cell Lymphoma									Vehicle				Day 3	SU-DHL-4														
SRP127787	SRX3524991		9606	SUDHL4_day3_200nM_GSK595																					CellLine: SU-DHL-4							Diffuse Large B-cell Lymphoma									200nM GSK3326595				Day 3	SU-DHL-4														
SRP127787	SRX3524992		9606	SUDHL4_day6_vehicle																					CellLine: SU-DHL-4							Diffuse Large B-cell Lymphoma									Vehicle				Day 6	SU-DHL-4														
SRP127787	SRX3524993		9606	SUDHL4_day6_200nM_GSK595																					CellLine: SU-DHL-4							Diffuse Large B-cell Lymphoma									200nM GSK3326595				Day 6	SU-DHL-4														
SRP134236	SRX3777460	SRR6820615	9606	IR- Dox- 1								No knockdown		0 Gy radiation											Prostate cancer		Dox-																			LNCaP-shPRMT5														
SRP134236	SRX3777461	SRR6820616	9606	IR- Dox+ 1								PRMT5 knockdown		0 Gy radiation											Prostate cancer		Dox+																			LNCaP-shPRMT5														
SRP134236	SRX3777462	SRR6820617	9606	IR- Dox- 2								No knockdown		0 Gy radiation											Prostate cancer		Dox-																			LNCaP-shPRMT5														
SRP134236	SRX3777463	SRR6820618	9606	IR- Dox+ 2								PRMT5 knockdown		0 Gy radiation											Prostate cancer		Dox+																			LNCaP-shPRMT5														
SRP134236	SRX3777464	SRR6820619	9606	IR- Dox- 3								No knockdown		0 Gy radiation											Prostate cancer		Dox-																			LNCaP-shPRMT5														
SRP134236	SRX3777465	SRR6820620	9606	IR- Dox+ 3								PRMT5 knockdown		0 Gy radiation											Prostate cancer		Dox+																			LNCaP-shPRMT5														
SRP134236	SRX3777466	SRR6820621	9606	IR+ Dox- 1R								No knockdown		2 Gy radiation											Prostate cancer		Dox-																			LNCaP-shPRMT5														
SRP134236	SRX3777467	SRR6820622	9606	IR+ Dox+ 1R								PRMT5 knockdown		2 Gy radiation											Prostate cancer		Dox+																			LNCaP-shPRMT5														
SRP134236	SRX3777468	SRR6820623	9606	IR+ Dox- 2R								No knockdown		2 Gy radiation											Prostate cancer		Dox-																			LNCaP-shPRMT5														
SRP134236	SRX3777469	SRR6820624	9606	IR+ Dox+ 2R								PRMT5 knockdown		2 Gy radiation											Prostate cancer		Dox+																			LNCaP-shPRMT5														
SRP134236	SRX3777470	SRR6820625	9606	IR+ Dox- 3R								No knockdown		2 Gy radiation											Prostate cancer		Dox-																			LNCaP-shPRMT5														
SRP134236	SRX3777471	SRR6820626	9606	IR+ Dox+ 3R								PRMT5 knockdown		2 Gy radiation											Prostate cancer		Dox+																			LNCaP-shPRMT5														
SRP135890	SRX3803252	SRR6847870	9606	NT siRNA E2F-1 RIP-seq 1																					U2OS cells																					U2OS									25nM NT siRNA, 72h			Osteosarcoma, epithelial		
SRP135890	SRX3803253	SRR6847871	9606	NT siRNA E2F-1 RIP-seq 2																					U2OS cells																					U2OS									25nM NT siRNA, 72h			Osteosarcoma, epithelial		
SRP135890	SRX3803254	SRR6847872	9606	TSN siRNA E2F-1 RIP-seq 1																					U2OS cells																					U2OS									25nM p100/TSN siRNA, 72h			Osteosarcoma, epithelial		
SRP135890	SRX3803255	SRR6847873	9606	TSN siRNA E2F-1 RIP-seq 2																					U2OS cells																					U2OS									25nM p100/TSN siRNA, 72h			Osteosarcoma, epithelial		
SRP135890	SRX3803256	SRR6847874	9606	E2F-1 siRNA E2F-1 RIP-seq																					U2OS cells																					U2OS									25nM E2F-1 siRNA, 72h			Osteosarcoma, epithelial		
SRP135891	SRX3803257	SRR6847875	9606	pTRE cell line RNA-seq replicate 1																					pTRE U2OS stable cells												empty vector cell line									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803258	SRR6847876	9606	pTRE cell line RNA-seq replicate 2																					pTRE U2OS stable cells												empty vector cell line									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803259	SRR6847877	9606	pTRE cell line RNA-seq replicate 3																					pTRE U2OS stable cells												empty vector cell line									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803260	SRR6847878	9606	WT cell line RNA-seq replicate 1																					WT U2OS stable cells												HA-tagged wild-type E2F-1									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803261	SRR6847879	9606	WT cell line RNA-seq replicate 2																					WT U2OS stable cells												HA-tagged wild-type E2F-1									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803262	SRR6847880	9606	WT cell line RNA-seq replicate 3																					WT U2OS stable cells												HA-tagged wild-type E2F-1									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803263	SRR6847881	9606	R109K cell line RNA-seq replicate 1																					R109K U2OS stable cells												HA-tagged R109K mutated E2F-1									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803264	SRR6847882	9606	R109K cell line RNA-seq replicate 2																					R109K U2OS stable cells												HA-tagged R109K mutated E2F-1									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803265	SRR6847883	9606	R109K cell line RNA-seq replicate 3																					R109K U2OS stable cells												HA-tagged R109K mutated E2F-1									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803266	SRR6847884	9606	KK cell line RNA-seq replicate 1																					KK U2OS stable cells												HA-tagged R111/113K mutated E2F-1 (KK)									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803267	SRR6847885	9606	KK cell line RNA-seq replicate 2																					KK U2OS stable cells												HA-tagged R111/113K mutated E2F-1 (KK)									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP135891	SRX3803268	SRR6847886	9606	KK cell line RNA-seq replicate 3																					KK U2OS stable cells												HA-tagged R111/113K mutated E2F-1 (KK)									U2OS									1ug/ml doxycycline, 24h			Osteosarcoma, epithelial		
SRP149386	SRX4145141	SRR7239310	9606	TMD8 sgPRMT5 0-1								expressing sgRNA targeting PRMT5													TMD8 sgPRMT5 0 day																20ng/ml doxycycline for 0 days.					TMD8												ABC DLBCL cell line		
SRP149386	SRX4145142	SRR7239311	9606	TMD8 sgPRMT5 0-2								expressing sgRNA targeting PRMT5													TMD8 sgPRMT5 0 day																20ng/ml doxycycline for 0 days.					TMD8												ABC DLBCL cell line		
SRP149386	SRX4145143	SRR7239312	9606	TMD8 sgPRMT5 3-1								expressing sgRNA targeting PRMT5													TMD8 sgPRMT5 3 days																20ng/ml doxycycline for 3 days.					TMD8												ABC DLBCL cell line		
SRP149386	SRX4145144	SRR7239313	9606	TMD8 sgPRMT5 3-2								expressing sgRNA targeting PRMT5													TMD8 sgPRMT5 3 days																20ng/ml doxycycline for 3 days.					TMD8												ABC DLBCL cell line		
SRP149386	SRX4145145	SRR7239314	9606	TMD8 sgPRMT5 6-1								expressing sgRNA targeting PRMT5													TMD8 sgPRMT5 6 days																20ng/ml doxycycline for 6 days.					TMD8												ABC DLBCL cell line		
SRP149386	SRX4145146	SRR7239315	9606	TMD8 sgPRMT5 6-2								expressing sgRNA targeting PRMT5													TMD8 sgPRMT5 6 days																20ng/ml doxycycline for 6 days.					TMD8												ABC DLBCL cell line		
SRP149386	SRX4145147	SRR7239316	9606	OCI-Ly7 sgPRMT5 0-1								expressing sgRNA targeting PRMT5													OCI-Ly7 sgPRMT5 0 day																20ng/ml doxycycline for 0 days.					OCI-Ly7												GCB DLBCL cell line		
SRP149386	SRX4145148	SRR7239317	9606	OCI-Ly7 sgPRMT5 0-2								expressing sgRNA targeting PRMT5													OCI-Ly7 sgPRMT5 0 day																20ng/ml doxycycline for 0 days.					OCI-Ly7												GCB DLBCL cell line		
SRP149386	SRX4145149	SRR7239318	9606	OCI-Ly7 sgPRMT5 3-1								expressing sgRNA targeting PRMT5													OCI-Ly7 sgPRMT5 3 days																20ng/ml doxycycline for 3 days.					OCI-Ly7												GCB DLBCL cell line		
SRP149386	SRX4145150	SRR7239319	9606	OCI-Ly7 sgPRMT5 3-2								expressing sgRNA targeting PRMT5													OCI-Ly7 sgPRMT5 3 days																20ng/ml doxycycline for 3 days.					OCI-Ly7												GCB DLBCL cell line		
SRP149386	SRX4145151	SRR7239320	9606	OCI-Ly7 sgPRMT5 6-1								expressing sgRNA targeting PRMT5													OCI-Ly7 sgPRMT5 6 days																20ng/ml doxycycline for 6 days.					OCI-Ly7												GCB DLBCL cell line		
SRP149386	SRX4145152	SRR7239321	9606	OCI-Ly7 sgPRMT5 6-2								expressing sgRNA targeting PRMT5													OCI-Ly7 sgPRMT5 6 days																20ng/ml doxycycline for 6 days.					OCI-Ly7												GCB DLBCL cell line		
SRP153104	SRX4381885	SRR7511789	9606	SUDHL6_VEH_24H_R1																					SUDHL6 cells		Vehicle (0.01% DMSO)																			SUDHL6														24 h
SRP153104	SRX4381886	SRR7511790	9606	SUDHL6_VEH_24H_R2																					SUDHL6 cells		Vehicle (0.01% DMSO)																			SUDHL6														24 h
SRP153104	SRX4381887	SRR7511791	9606	SUDHL6_VEH_24H_R3																					SUDHL6 cells		Vehicle (0.01% DMSO)																			SUDHL6														24 h
SRP153104	SRX4381888	SRR7511792	9606	SUDHL6_GSK591_24H_R1																					SUDHL6 cells		200nm GSK591																			SUDHL6														24 h
SRP153104	SRX4381889	SRR7511793	9606	SUDHL6_GSK591_24H_R2																					SUDHL6 cells		200nm GSK591																			SUDHL6														24 h
SRP153104	SRX4381890	SRR7511794	9606	SUDHL6_GSK591_24H_R3																					SUDHL6 cells		200nm GSK591																			SUDHL6														24 h
SRP153104	SRX4381891	SRR7511795	9606	SUDHL6_VEH_96H_R1																					SUDHL6 cells		Vehicle (0.01% DMSO)																			SUDHL6														96 h
SRP153104	SRX4381892	SRR7511796	9606	SUDHL6_VEH_96H_R2																					SUDHL6 cells		Vehicle (0.01% DMSO)																			SUDHL6														96 h
SRP153104	SRX4381893	SRR7511797	9606	SUDHL6_VEH_96H_R3																					SUDHL6 cells		Vehicle (0.01% DMSO)																			SUDHL6														96 h
SRP153104	SRX4381894	SRR7511798	9606	SUDHL6_GSK591_96H_R1																					SUDHL6 cells		200nm GSK591																			SUDHL6														96 h
SRP153104	SRX4381895	SRR7511799	9606	SUDHL6_GSK591_96H_R2																					SUDHL6 cells		200nm GSK591																			SUDHL6														96 h
SRP153104	SRX4381896	SRR7511800	9606	SUDHL6_GSK591_96H_R3																					SUDHL6 cells		200nm GSK591																			SUDHL6														96 h
SRP149386	SRX4923686	SRR8096863	12111				Illumina Nextera XT	Bos taurus	Passaged once in LFBK-_V_6 cells	A			3					laboratory / experimental			Experimental inocculum was A24/Cruzeiro/BoPass2 Harvested 28Dec2005, SRA accession: SRP149386												non-vaccinated bovine 14-34	not applicable									Saliva						Viral		not applicable									
SRP186070	SRX5383617	SRR8582918	9606	PANC08.13_N1_DMSO	Replicate #1																				Pancreatic cancer cell line		Control (DMSO)																			PANC08.13														
SRP186070	SRX5383618	SRR8582919	9606	PANC08.13_N1_GSK712	Replicate #1																				Pancreatic cancer cell line		Treated (GSK3368712)																			PANC08.13														
SRP186070	SRX5383619	SRR8582920	9606	PANC08.13_N2_DMSO	Replicate #2																				Pancreatic cancer cell line		Control (DMSO)																			PANC08.13														
SRP186070	SRX5383620	SRR8582921	9606	PANC08.13_N2_GSK712	Replicate #2																				Pancreatic cancer cell line		Treated (GSK3368712)																			PANC08.13														
SRP186070	SRX5383621	SRR8582922	9606	PANC03.27_MTAP_WT_DMSO_N1	Replicate #1																				Pancreatic cancer cell line		Control (DMSO)																			PANC03.27						Parental								
SRP186070	SRX5383622	SRR8582923	9606	PANC03.27_MTAP_WT_DMSO_N2	Replicate #2																				Pancreatic cancer cell line		Control (DMSO)																			PANC03.27						Parental								
SRP186070	SRX5383623	SRR8582924	9606	PANC03.27_MTAP_WT_GSK712_N1	Replicate #1																				Pancreatic cancer cell line		Treated (GSK3368712)																			PANC03.27						Parental								
SRP186070	SRX5383624	SRR8582925	9606	PANC03.27_MTAP_WT_GSK712_N2	Replicate #2																				Pancreatic cancer cell line		Treated (GSK3368712)																			PANC03.27						Parental								
SRP186070	SRX5383625	SRR8582926	9606	PANC03.27_MTAP_WT_GSK591_N1	Replicate #1																				Pancreatic cancer cell line		Treated (GSK3203591)																			PANC03.27						Parental								
SRP186070	SRX5383626	SRR8582927	9606	PANC03.27_MTAP_WT_GSK591_N2	Replicate #2																				Pancreatic cancer cell line		Treated (GSK3203591)																			PANC03.27						Parental								
SRP186070	SRX5383627	SRR8582928	9606	PANC03.27_MTAP_WT_Combo_N1	Replicate #1																				Pancreatic cancer cell line		Treated (Combination)																			PANC03.27						Parental								
SRP186070	SRX5383628	SRR8582929	9606	PANC03.27_MTAP_WT_Combo_N2	Replicate #2																				Pancreatic cancer cell line		Treated (Combination)																			PANC03.27						Parental								
SRP186070	SRX5383629	SRR8582930	9606	PANC03.27_MTAP_KO_DMSO_N1	Replicate #1																				Pancreatic cancer cell line		Control (DMSO)																			PANC03.27						Knock out								
SRP186070	SRX5383630	SRR8582931	9606	PANC03.27_MTAP_KO_DMSO_N2	Replicate #2																				Pancreatic cancer cell line		Control (DMSO)																			PANC03.27						Knock out								
SRP186070	SRX5383631	SRR8582932	9606	PANC03.27_MTAP_KO_GSK712_N1	Replicate #1																				Pancreatic cancer cell line		Treated (GSK3368712)																			PANC03.27						Knock out								
SRP186070	SRX5383632	SRR8582933	9606	PANC03.27_MTAP_KO_GSK712_N2	Replicate #2																				Pancreatic cancer cell line		Treated (GSK3368712)																			PANC03.27						Knock out								
SRP186070	SRX5383633	SRR8582934	9606	PANC03.27_MTAP_KO_GSK591_N1	Replicate #1																				Pancreatic cancer cell line		Treated (GSK3203591)																			PANC03.27						Knock out								
SRP186070	SRX5383634	SRR8582935	9606	PANC03.27_MTAP_KO_GSK591_N2	Replicate #2																				Pancreatic cancer cell line		Treated (GSK3203591)																			PANC03.27						Knock out								
SRP186070	SRX5383635	SRR8582936	9606	PANC03.27_MTAP_KO_Combo_N1	Replicate #1																				Pancreatic cancer cell line		Treated (Combination)																			PANC03.27						Knock out								
SRP186070	SRX5383636	SRR8582937	9606	PANC03.27_MTAP_KO_Combo_N2	Replicate #2																				Pancreatic cancer cell line		Treated (Combination)																			PANC03.27						Knock out								
SRP188498	SRX5524953	SRR8732091	9606	CB11 MLL-AF4																		CB11			CD34+ HSPCs from cord blood														t(4;11)(q21;q23)																			CD34+ HSPCs from cord blood		
SRP188498	SRX5524954	SRR8732092	9606	CB11 control																		CB11			CD34+ HSPCs from cord blood														control																			CD34+ HSPCs from cord blood		
SRP188498	SRX5524955	SRR8732093	9606	CB12 MLL-AF4																		CB12			CD34+ HSPCs from cord blood														t(4;11)(q21;q23)																			CD34+ HSPCs from cord blood		
SRP188498	SRX5524956	SRR8732094	9606	CB12 control																		CB12			CD34+ HSPCs from cord blood														control																			CD34+ HSPCs from cord blood		
SRP192029	SRX5668347		9606	THP-1 cells_sgNegCtrl																					Acute myeloid leukemia cell line			peripheral blood	control																	THP-1												monocyte	suspension	
SRP192029	SRX5668348		9606	THP-1 cells_sgPRMT5																					Acute myeloid leukemia cell line			peripheral blood	PRMT5 knockdown																	THP-1												monocyte	suspension	
SRP193479	SRX5725633	SRR8945501	9606	HeLa: input DNA																					HeLa cell										none											HeLa														
SRP193479	SRX5725634	SRR8945502	9606	HeLa: Snail_ChIPSeq																					HeLa cell										Snail											HeLa														
SRP193479	SRX5725635		9606	HeLa: MTA1_ChIPSeq																					HeLa cell										MTA1											HeLa														
SRP193479	SRX5725636		9606	HeLa: PRMT5_ChIPSeq																					HeLa cell										PRMT5											HeLa														
SRP200813	SRX5987866	SRR9217367	9606	Molm13_DMSO_rep1																					Molm13																					Molm13											DMSO Control	Acute Myeloid Leukemia		
SRP200813	SRX5987867	SRR9217368	9606	Molm13_DMSO_rep2																					Molm13																					Molm13											DMSO Control	Acute Myeloid Leukemia		
SRP200813	SRX5987868	SRR9217369	9606	Molm13_DMSO_rep3																					Molm13																					Molm13											DMSO Control	Acute Myeloid Leukemia		
SRP200813	SRX5987869	SRR9217370	9606	Molm13_DMSO_rep4																					Molm13																					Molm13											DMSO Control	Acute Myeloid Leukemia		
SRP200813	SRX5987870	SRR9217371	9606	Molm13_EZH2i_rep1																					Molm13																					Molm13											EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987871	SRR9217372	9606	Molm13_EZH2i_rep2																					Molm13																					Molm13											EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987872	SRR9217373	9606	Molm13_EZH2i_rep3																					Molm13																					Molm13											EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987873	SRR9217374	9606	Molm13_EZH2i_rep4																					Molm13																					Molm13											EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987874	SRR9217375	9606	Molm13_P5i_1uM_rep1																					Molm13																					Molm13											PRMT5 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987875	SRR9217376	9606	Molm13_P5i_1uM_rep2																					Molm13																					Molm13											PRMT5 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987876	SRR9217377	9606	Molm13_P5i_1uM_rep3																					Molm13																					Molm13											PRMT5 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987877	SRR9217378	9606	Molm13_P5i_1uM_rep4																					Molm13																					Molm13											PRMT5 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987878	SRR9217379	9606	Molm13_PE_rep1																					Molm13																					Molm13											PRMT5 and EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987879	SRR9217380	9606	Molm13_PE_rep2																					Molm13																					Molm13											PRMT5 and EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987880	SRR9217381	9606	Molm13_PE_rep3																					Molm13																					Molm13											PRMT5 and EZH2 Inhibition	Acute Myeloid Leukemia		
SRP200813	SRX5987881	SRR9217382	9606	Molm13_PE_rep4																					Molm13																					Molm13											PRMT5 and EZH2 Inhibition	Acute Myeloid Leukemia		
SRP212665	SRX6384947		9606	A375AR991-S2	Replicate 1																				A375AR991 cell line		increasing concentrations of palbociclib for 7 months																			A375AR991	Melanoma													
SRP212665	SRX6384948		9606	A375AR991-S3	Replicate 2																				A375AR991 cell line		increasing concentrations of palbociclib for 7 months																			A375AR991	Melanoma													
SRP212665	SRX6384949		9606	A375AR991-S4	Replicate 3																				A375AR991 cell line		increasing concentrations of palbociclib for 7 months																			A375AR991	Melanoma													
SRP212665	SRX6384950		9606	A375-S2	Replicate 1																				A375 cell line		No treatment																			A375	Melanoma													
SRP212665	SRX6384951		9606	A375-S3	Replicate 2																				A375 cell line		No treatment																			A375	Melanoma													
SRP212665	SRX6384952		9606	A375-S4	Replicate 3																				A375 cell line		No treatment																			A375	Melanoma													
SRP212665	SRX6384953		9606	CHL1AR991-S2	Replicate 1																				CHL1AR991 cell line		increasing concentrations of palbociclib for 3 months																			CHL1AR991	Melanoma													
